index_code,date,close,previous_close,category
H30269.CSI,20250103,10824.5494,10947.0973,down
H30269.CSI,20250106,10850.6444,10824.5494,flat
H30269.CSI,20250107,10870.2285,10850.6444,flat
H30269.CSI,20250108,10910.465,10870.2285,flat
H30269.CSI,20250109,10775.1911,10910.465,down
H30269.CSI,20250110,10646.892,10775.1911,down
H30269.CSI,20250113,10543.6155,10646.892,down
H30269.CSI,20250114,10695.2771,10543.6155,up
H30269.CSI,20250115,10711.9449,10695.2771,flat
H30269.CSI,20250116,10808.3081,10711.9449,up
H30269.CSI,20250117,10791.5909,10808.3081,flat
H30269.CSI,20250120,10774.9802,10791.5909,flat
H30269.CSI,20250121,10699.5613,10774.9802,down
H30269.CSI,20250122,10538.7483,10699.5613,down
H30269.CSI,20250123,10692.4749,10538.7483,up
H30269.CSI,20250124,10721.2233,10692.4749,flat
H30269.CSI,20250127,10875.6489,10721.2233,up
H30269.CSI,20250205,10681.4748,10875.6489,down
H30269.CSI,20250206,10686.2535,10681.4748,flat
H30269.CSI,20250207,10698.4264,10686.2535,flat
H30269.CSI,20250210,10687.1169,10698.4264,flat
H30269.CSI,20250211,10801.0905,10687.1169,up
H30269.CSI,20250212,10832.6884,10801.0905,flat
H30269.CSI,20250213,10845.1894,10832.6884,flat
H30269.CSI,20250214,10856.4618,10845.1894,flat
H30269.CSI,20250217,10845.0976,10856.4618,flat
H30269.CSI,20250218,10844.3906,10845.0976,flat
H30269.CSI,20250219,10844.3409,10844.3906,flat
H30269.CSI,20250220,10825.1008,10844.3409,flat
H30269.CSI,20250221,10722.6426,10825.1008,down
H30269.CSI,20250224,10714.9569,10722.6426,flat
H30269.CSI,20250225,10620.419,10714.9569,down
H30269.CSI,20250226,10698.5924,10620.419,up
H30269.CSI,20250227,10791.6057,10698.5924,up
H30269.CSI,20250228,10739.3315,10791.6057,flat
H30269.CSI,20250303,10749.1904,10739.3315,flat
H30269.CSI,20250304,10747.3759,10749.1904,flat
H30269.CSI,20250305,10840.1991,10747.3759,up
H30269.CSI,20250306,10786.6754,10840.1991,flat
H30269.CSI,20250307,10769.551,10786.6754,flat
H30269.CSI,20250310,10717.1915,10769.551,flat
H30269.CSI,20250311,10788.2868,10717.1915,up
H30269.CSI,20250312,10772.9285,10788.2868,flat
H30269.CSI,20250313,10827.9964,10772.9285,up
H30269.CSI,20250314,10919.8561,10827.9964,up
H30269.CSI,20250317,10954.0874,10919.8561,flat
H30269.CSI,20250318,10943.0916,10954.0874,flat
H30269.CSI,20250319,11013.6487,10943.0916,up
H30269.CSI,20250320,10965.6582,11013.6487,flat
H30269.CSI,20250321,10931.571,10965.6582,flat
H30269.CSI,20250324,11004.471,10931.571,up
H30269.CSI,20250325,11079.9443,11004.471,up
H30269.CSI,20250326,11044.664,11079.9443,flat
H30269.CSI,20250327,11068.4388,11044.664,flat
H30269.CSI,20250328,11033.1981,11068.4388,flat
H30269.CSI,20250331,11039.7558,11033.1981,flat
H30269.CSI,20250401,11066.4306,11039.7558,flat
H30269.CSI,20250402,11148.4377,11066.4306,up
H30269.CSI,20250403,11173.5113,11148.4377,flat
H30269.CSI,20250407,10575.6606,11173.5113,down
H30269.CSI,20250408,10805.7259,10575.6606,up
H30269.CSI,20250409,10777.0133,10805.7259,flat
